Index,Name,Location,Type,Specialization,Treatment Approaches,Cost (INR),Contact Information,Ratings
0,Serenity Rehab Center,Mumbai,Rehabilitation Center,Substance Abuse Rehabilitation,Detoxification,8000,serenityrehab@example.com,2.9
1,New Horizons Recovery Clinic,Delhi,Rehabilitation Center,Alcohol Rehabilitation,Cognitive Behavioral Therapy,10000,newhorizons@example.com,4.1
2,Tranquil Pathways Rehab Facility,Bangalore,Rehabilitation Center,Drug Addiction Rehabilitation,12-Step Program,9000,tranquilpathways@example.com,3.6
3,Hope Springs Rehab Center,Chennai,Rehabilitation Center,Gambling Addiction Rehabilitation,Individual Counseling,8500,hopesprings@example.com,3.9
4,Freedom Steps Recovery Center,Kolkata,Rehabilitation Center,Smoking Cessation Program,Nicotine Replacement Therapy,7500,freedomsteps@example.com,3.4
5,Oasis Recovery Center,Hyderabad,Rehabilitation Center,Substance Abuse Rehabilitation,Family Therapy,8500,oasisrecovery@example.com,3.6
6,Phoenix Rising Rehab Clinic,Pune,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9500,phoenixrising@example.com,3.7
7,Sunshine Haven Rehab Facility,Jaipur,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,8000,sunshinehaven@example.com,4.0
8,Tranquility Retreats,Goa,Rehabilitation Center,Gambling Addiction Rehabilitation,Outdoor Activities,9000,tranquilityretreats@example.com,3.2
9,Zenith Wellness Center,Chandigarh,Rehabilitation Center,Smoking Cessation Program,Hypnotherapy,8000,zenithwellness@example.com,3.8
10,Unity Recovery Center,Lucknow,Rehabilitation Center,Substance Abuse Rehabilitation,Group Therapy,8200,unityrecovery@example.com,3.5
11,Hope Haven Rehab Oasis,Kanpur,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9000,hopehavenoasis@example.com,3.3
12,Tranquil Trails Rehab Retreat,Varanasi,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,8500,trailsrehab@example.com,3.6
13,Harmony House,Allahabad,Rehabilitation Center,Gambling Addiction Rehabilitation,Cognitive Therapy,8000,harmonyhouse@example.com,3.9
14,Samaritan Sober Living Center,Bhopal,Rehabilitation Center,Substance Abuse Rehabilitation,Peer Support,7800,samaritan@example.com,3.5
15,Tranquility Springs Rehab Haven,Indore,Rehabilitation Center,Alcohol Rehabilitation,Art Therapy,9500,tranquilitysprings@example.com,3.7
16,Hopeful Hearts Recovery Center,Gwalior,Rehabilitation Center,Drug Addiction Rehabilitation,Creative Therapy,8700,hopefulhearts@example.com,3.6
17,Renewal Rehab Oasis,Patna,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,8300,renewaloasis@example.com,3.4
18,Tranquil Waters Recovery Center,Muzaffarpur,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9200,trqilwaters@example.com,3.5
19,Growth Steps Rehab Sanctuary,Darbhanga,Rehabilitation Center,Drug Addiction Rehabilitation,12-Step Program,8900,growthsteps@example.com,3.3
20,Healing Harmony Rehab Retreat,Ahmedabad,Rehabilitation Center,Substance Abuse Rehabilitation,Yoga Therapy,8600,healingharmony@example.com,3.8
21,Tranquility Springs Wellness Center,Surat,Rehabilitation Center,Alcohol Rehabilitation,Mindfulness Meditation,9200,tranquilityspringswellness@example.com,3.7
